x,y,token
9.945513,-55.80311,[
-53.388023,-35.085735,Emma
-38.586227,15.428925,by
-55.18636,-32.0022,Jane
9.906224,-55.752365,]
1.6081012,-39.67766,I
71.1656,18.131405,CHAPTER
-55.112152,-31.414825,Woodhouse
-39.702858,16.065199,","
-25.337402,-36.4581,handsome
-24.402863,-37.41887,clever
-39.271526,15.616054,and
24.357473,16.502068,rich
-39.21106,15.591333,with
-36.347687,5.5149126,a
-44.456978,-41.569313,comfortable
-17.02721,-34.507507,home
-15.219673,-36.53794,happy
-34.02387,-38.662148,disposition
-29.00007,7.543296,seemed
-39.34755,15.580014,to
-22.610487,-25.539543,unite
-24.97308,-0.40628874,some
-39.019497,15.551031,of
-39.136967,15.5966,the
-4.213388,-34.65859,best
27.366892,-6.39225,blessings
-31.484238,-33.317074,existence
-39.68326,16.001196,;
-39.973648,6.6127925,had
40.98153,40.14994,lived
-29.937021,-3.077177,nearly
40.671127,42.365417,twenty
-21.55383,40.627773,-
-34.77679,4.908287,one
39.9663,40.356945,years
-38.746147,15.440979,in
10.95679,-4.6504107,world
-12.768068,-38.2916,very
-52.0097,13.6728,little
-41.246838,-44.758873,distress
-18.264372,12.165475,or
33.162876,-14.543979,vex
-55.784256,-6.379363,her
-39.80841,15.915172,.
-55.78129,-6.4191194,She
-40.36455,6.7495847,was
54.05557,13.3822155,youngest
39.318275,44.23492,two
56.18388,14.269632,daughters
-17.615242,-9.827512,most
-36.07025,-28.700245,affectionate
-30.27887,-22.96803,indulgent
62.377712,2.8596838,father
-37.88209,-40.093204,consequence
62.38295,2.8581405,sister
4.8552475,-32.381268,'
3.5189664,-32.525505,s
-49.07655,-26.871607,marriage
-44.203815,-25.120607,been
-51.481247,-27.30977,mistress
-39.882492,14.543739,his
51.41258,13.025481,house
-28.313522,32.570087,from
-51.391926,-15.218086,early
-46.92317,-16.852259,period
-36.458862,-29.252523,Her
62.36405,2.825352,mother
63.335854,24.601341,died
-12.612562,-37.77365,too
-23.46475,23.519085,long
13.497052,17.72269,ago
-37.158993,6.7752614,for
-39.56569,6.486003,have
-19.438158,8.757603,more
-19.45842,8.720692,than
-36.172226,5.393577,an
-41.295307,-44.884808,remembrance
-28.883156,-7.2800007,caresses
18.555225,-1.0619365,place
-33.41175,-30.225779,supplied
-26.683693,-36.339207,excellent
60.739098,1.4445554,woman
-35.53172,6.8382587,as
-13.553874,-41.527786,governess
-41.729336,6.8488126,who
25.842577,7.8210745,fallen
-39.75952,-0.9327864,short
-36.960278,-38.609516,affection
10.913464,17.519943,Sixteen
-55.16575,-31.536049,Miss
-54.9948,-31.49954,Taylor
-55.588295,-27.81367,Mr
-48.161804,-25.337408,family
-18.77449,-36.556515,less
-13.658504,-41.885986,friend
-29.272991,-49.371372,fond
21.07567,-5.1480775,both
-37.19041,6.513462,but
-31.959925,-50.203537,particularly
-9.192761,13.7951355,Between
-37.20731,5.9563622,it
-41.352287,-38.243813,intimacy
-49.839684,-29.160557,sisters
46.39226,-8.171548,Even
-38.08055,8.734245,before
-36.960182,-24.20878,ceased
14.430959,-17.62798,hold
51.201874,10.555891,office
-38.42683,-7.2963123,mildness
-33.883827,-38.957333,temper
-13.297855,-35.661568,hardly
-35.37305,-45.63524,allowed
-16.387646,-39.22878,impose
-9.427659,-51.943825,any
-20.223242,-43.88335,restraint
9.653253,33.07229,shadow
-21.493084,-41.939404,authority
-28.027222,-15.673403,being
2.6533895,-24.265497,now
42.753105,21.998705,passed
-47.15928,34.19732,away
-39.766895,13.049357,they
13.827887,12.840305,living
41.90058,8.299178,together
-28.6985,-11.856183,mutually
-26.749498,-36.92306,attached
-14.357015,-43.084236,doing
-2.440833,-23.634083,just
7.604201,-42.753937,what
-55.783085,-6.3882957,she
-32.89846,-48.534588,liked
-26.518398,-35.478725,highly
32.07433,-8.670664,judgment
-50.146675,-6.124279,directed
-16.108385,-6.471102,chiefly
-22.7303,-27.1909,own
2.001541,18.731388,The
-32.794727,-36.966946,real
-35.12434,-32.136593,evils
-9.746519,-44.770977,indeed
-38.275166,-39.786037,situation
-40.582104,7.3912983,were
37.914093,-6.5835013,power
-28.05097,-15.693587,having
-41.382214,2.7041888,rather
-14.267379,-37.73963,much
-39.255783,20.198355,way
-6.54205,-47.77952,think
-14.628423,-37.743656,well
-55.789204,-6.418318,herself
-4.5640926,5.5346923,these
-37.12408,6.095886,which
-37.88602,-24.005192,threatened
-33.22727,-19.739105,alloy
36.501934,21.801102,many
-24.727467,-26.923363,enjoyments
-28.925966,-44.76146,danger
-27.781448,-32.369144,however
-38.233303,15.04521,at
-30.279207,-39.214703,present
-35.53286,6.843508,so
-25.472527,-10.627389,unperceived
-37.19634,6.089766,that
-5.1397743,-54.516552,did
-1.7826871,-37.503002,not
-26.55985,-32.337456,means
-20.600077,-15.511521,rank
6.98427,-11.876798,misfortunes
23.04974,-28.833773,Sorrow
-39.196255,42.212788,came
-13.991624,5.5169163,--
14.6995125,-3.655148,gentle
